row_id,split,topic,source_hint,question,reference_answer,review_notes
64,train,food_events,pittsburgh_taco_fest_visitpittsburgh,The Original Pittsburgh Taco Festival generates support for nonprofits aiding which community?,Pittsburgh's Latin American community,
65,train,food_events,visitpittsburgh_annual_events,What Pittsburgh festival was established in 2019 to honor food service pioneers and entrepreneurs?,Pittsburgh Soul Food Festival,
66,train,sports,visitpittsburgh_sports_teams,Where do the Pittsburgh Steelers play home games?,Acrisure Stadium,
67,train,sports,visitpittsburgh_sports_teams,Where do the Pittsburgh Penguins play home games?,PPG Paints Arena,
68,train,sports,wiki_pittsburgh,Where do the Pittsburgh Pirates play home games?,PNC Park,
69,train,sports,visitpittsburgh_sports_teams,How many Super Bowl titles have the Pittsburgh Steelers won according to Visit Pittsburgh?,six,
70,train,sports,visitpittsburgh_sports_teams,What nickname is used for Pittsburgh after the Steelers became the first NFL team with six Super Bowl titles?,Sixburgh,
71,train,sports,visitpittsburgh_sports_teams,How many Stanley Cups are the Pittsburgh Penguins described as having won by Visit Pittsburgh?,five,
72,train,sports,wiki_pirates,What was the original name of the Pittsburgh Pirates franchise?,Allegheny Base Ball Club of Pittsburgh,
73,train,sports,wiki_pirates,In what year was the Pittsburgh Pirates franchise founded?,1881,
74,train,sports,wiki_pittsburgh,What is Pittsburgh's oldest professional sports franchise?,Pittsburgh Pirates,
75,train,sports,wiki_steelers,In what year were the Pittsburgh Steelers founded?,1933,
76,train,sports,wiki_penguins,In what year were the Pittsburgh Penguins founded?,1967,
77,train,sports,wiki_penguins,What colors did the Penguins adopt in 1980 to match Pittsburgh's other teams?,black and gold,
78,train,sports,wiki_pirates,What is the right-field wall at PNC Park nicknamed?,Clemente Wall,
79,train,sports,visitpittsburgh_sports_teams,What color pair do Pittsburgh fans bleed according to Visit Pittsburgh?,black and gold,
80,train,sports,wiki_pirates,Which Pirates player hit the walk-off home run that decided the 1960 World Series?,Bill Mazeroski,
